Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total
19,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata,30,56,35,72,25,35,253
19,Rattata Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Rattata_Alolan_Form,30,56,35,72,25,35,253
20,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate,55,81,60,97,50,70,413
20,Raticate Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Raticate_Alolan_Form,75,71,70,77,40,80,413
21,Spearow,https://bulbapedia.bulbagarden.net/wiki/Spearow,40,60,30,70,31,31,262
22,Fearow,https://bulbapedia.bulbagarden.net/wiki/Fearow,65,90,65,100,61,61,442
23,Ekans,https://bulbapedia.bulbagarden.net/wiki/Ekans,35,60,44,55,40,54,288
24,Arbok,https://bulbapedia.bulbagarden.net/wiki/Arbok,60,95,69,80,65,79,448
25,Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu,35,55,40,90,50,50,320
25,Pikachu Partner Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_Partner_Pikachu,45,80,50,120,75,60,430
26,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu,60,90,55,110,90,80,485
26,Raichu Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Raichu_Alolan_Form,60,85,50,110,95,85,485
26,Raichu Mega Raichu X,https://bulbapedia.bulbagarden.net/wiki/Raichu_Mega_Raichu_X,60,135,95,110,90,95,585
26,Raichu Mega Raichu Y,https://bulbapedia.bulbagarden.net/wiki/Raichu_Mega_Raichu_Y,60,100,55,130,160,80,585
27,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew,50,75,85,40,20,30,300
27,Sandshrew Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_Alolan_Form,50,75,90,40,10,35,300
28,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash,75,100,110,65,45,55,450
28,Sandslash Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Sandslash_Alolan_Form,75,100,120,65,25,65,450
29,Nidoran♀,https://bulbapedia.bulbagarden.net/wiki/Nidoran♀,55,47,52,41,40,40,275
30,Nidorina,https://bulbapedia.bulbagarden.net/wiki/Nidorina,70,62,67,56,55,55,365
31,Nidoqueen,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen,90,92,87,76,75,85,505
32,Nidoran♂,https://bulbapedia.bulbagarden.net/wiki/Nidoran♂,46,57,40,50,40,40,273
33,Nidorino,https://bulbapedia.bulbagarden.net/wiki/Nidorino,61,72,57,65,55,55,365
34,Nidoking,https://bulbapedia.bulbagarden.net/wiki/Nidoking,81,102,77,85,85,75,505
35,Clefairy,https://bulbapedia.bulbagarden.net/wiki/Clefairy,70,45,48,35,60,65,323
36,Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable,95,70,73,60,95,90,483
36,Clefable Mega Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_Mega_Clefable,95,80,93,70,135,110,583
37,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix,38,41,40,65,50,65,299
37,Vulpix Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Vulpix_Alolan_Form,38,41,40,65,50,65,299
38,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales,73,76,75,100,81,100,505
38,Ninetales Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Ninetales_Alolan_Form,73,67,75,109,81,100,505
39,Jigglypuff,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff,115,45,20,20,45,25,270
40,Wigglytuff,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff,140,70,45,45,85,50,435
41,Zubat,https://bulbapedia.bulbagarden.net/wiki/Zubat,40,45,35,55,30,40,245
42,Golbat,https://bulbapedia.bulbagarden.net/wiki/Golbat,75,80,70,90,65,75,455
43,Oddish,https://bulbapedia.bulbagarden.net/wiki/Oddish,45,50,55,30,75,65,320
44,Gloom,https://bulbapedia.bulbagarden.net/wiki/Gloom,60,65,70,40,85,75,395
45,Vileplume,https://bulbapedia.bulbagarden.net/wiki/Vileplume,75,80,85,50,110,90,490
46,Paras,https://bulbapedia.bulbagarden.net/wiki/Paras,35,70,55,25,45,55,285
47,Parasect,https://bulbapedia.bulbagarden.net/wiki/Parasect,60,95,80,30,60,80,405
48,Venonat,https://bulbapedia.bulbagarden.net/wiki/Venonat,60,55,50,45,40,55,305
49,Venomoth,https://bulbapedia.bulbagarden.net/wiki/Venomoth,70,65,60,90,90,75,450
50,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett,10,55,25,95,35,45,265
50,Diglett Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Diglett_Alolan_Form,10,55,30,90,35,45,265
51,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio,35,100,50,120,50,70,425
51,Dugtrio Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_Alolan_Form,35,100,60,110,50,70,425
52,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth,40,45,35,90,40,40,290
52,Meowth Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Meowth_Alolan_Form,40,35,35,90,50,40,290
52,Meowth Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Meowth_Galarian_Form,50,65,55,40,40,40,290
53,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian,65,70,60,115,65,65,440
53,Persian Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Persian_Alolan_Form,65,60,60,115,75,65,440
54,Psyduck,https://bulbapedia.bulbagarden.net/wiki/Psyduck,50,52,48,55,65,50,320
55,Golduck,https://bulbapedia.bulbagarden.net/wiki/Golduck,80,82,78,85,95,80,500
56,Mankey,https://bulbapedia.bulbagarden.net/wiki/Mankey,40,80,35,70,35,45,305
57,Primeape,https://bulbapedia.bulbagarden.net/wiki/Primeape,65,105,60,95,60,70,455
58,Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe,55,70,45,60,70,50,350
58,Growlithe Hisuian Form,https://bulbapedia.bulbagarden.net/wiki/Growlithe_Hisuian_Form,60,75,45,55,65,50,350
59,Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine,90,110,80,95,100,80,555
59,Arcanine Hisuian Form,https://bulbapedia.bulbagarden.net/wiki/Arcanine_Hisuian_Form,95,115,80,90,95,80,555
60,Poliwag,https://bulbapedia.bulbagarden.net/wiki/Poliwag,40,50,40,90,40,40,300
61,Poliwhirl,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl,65,65,65,90,50,50,385
62,Poliwrath,https://bulbapedia.bulbagarden.net/wiki/Poliwrath,90,95,95,70,70,90,510
63,Abra,https://bulbapedia.bulbagarden.net/wiki/Abra,25,20,15,90,105,55,310
64,Kadabra,https://bulbapedia.bulbagarden.net/wiki/Kadabra,40,35,30,105,120,70,400
65,Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam,55,50,45,120,135,95,500
65,Alakazam Mega Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_Mega_Alakazam,55,50,65,150,175,105,600
66,Machop,https://bulbapedia.bulbagarden.net/wiki/Machop,70,80,50,35,35,35,305
67,Machoke,https://bulbapedia.bulbagarden.net/wiki/Machoke,80,100,70,45,50,60,405
68,Machamp,https://bulbapedia.bulbagarden.net/wiki/Machamp,90,130,80,55,65,85,505
69,Bellsprout,https://bulbapedia.bulbagarden.net/wiki/Bellsprout,50,75,35,40,70,30,300
70,Weepinbell,https://bulbapedia.bulbagarden.net/wiki/Weepinbell,65,90,50,55,85,45,390
71,Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel,80,105,65,70,100,70,490
71,Victreebel Mega Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel_Mega_Victreebel,80,125,85,70,135,95,590
72,Tentacool,https://bulbapedia.bulbagarden.net/wiki/Tentacool,40,40,35,70,50,100,335
73,Tentacruel,https://bulbapedia.bulbagarden.net/wiki/Tentacruel,80,70,65,100,80,120,515
74,Geodude,https://bulbapedia.bulbagarden.net/wiki/Geodude,40,80,100,20,30,30,300
74,Geodude Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Geodude_Alolan_Form,40,80,100,20,30,30,300
75,Graveler,https://bulbapedia.bulbagarden.net/wiki/Graveler,55,95,115,35,45,45,390
75,Graveler Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Graveler_Alolan_Form,55,95,115,35,45,45,390
76,Golem,https://bulbapedia.bulbagarden.net/wiki/Golem,80,120,130,45,55,65,495
76,Golem Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Golem_Alolan_Form,80,120,130,45,55,65,495
77,Ponyta,https://bulbapedia.bulbagarden.net/wiki/Ponyta,50,85,55,90,65,65,410
77,Ponyta Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Ponyta_Galarian_Form,50,85,55,90,65,65,410
78,Rapidash,https://bulbapedia.bulbagarden.net/wiki/Rapidash,65,100,70,105,80,80,500
78,Rapidash Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Rapidash_Galarian_Form,65,100,70,105,80,80,500
79,Slowpoke,https://bulbapedia.bulbagarden.net/wiki/Slowpoke,90,65,65,15,40,40,315
79,Slowpoke Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_Galarian_Form,90,65,65,15,40,40,315
80,Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro,95,75,110,30,100,80,490
80,Slowbro Mega Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_Mega_Slowbro,95,75,180,30,130,80,590
80,Slowbro Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Slowbro_Galarian_Form,95,100,95,30,100,70,490
81,Magnemite,https://bulbapedia.bulbagarden.net/wiki/Magnemite,25,35,70,45,95,55,325
82,Magneton,https://bulbapedia.bulbagarden.net/wiki/Magneton,50,60,95,70,120,70,465
83,Farfetch'd,https://bulbapedia.bulbagarden.net/wiki/Farfetch'd,52,90,55,60,58,62,377
83,Farfetch'd Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Farfetch'd_Galarian_Form,52,95,55,55,58,62,377
84,Doduo,https://bulbapedia.bulbagarden.net/wiki/Doduo,35,85,45,75,35,35,310
85,Dodrio,https://bulbapedia.bulbagarden.net/wiki/Dodrio,60,110,70,110,60,60,470
86,Seel,https://bulbapedia.bulbagarden.net/wiki/Seel,65,45,55,45,45,70,325
87,Dewgong,https://bulbapedia.bulbagarden.net/wiki/Dewgong,90,70,80,70,70,95,475
88,Grimer,https://bulbapedia.bulbagarden.net/wiki/Grimer,80,80,50,25,40,50,325
88,Grimer Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Grimer_Alolan_Form,80,80,50,25,40,50,325
89,Muk,https://bulbapedia.bulbagarden.net/wiki/Muk,105,105,75,50,65,100,500
89,Muk Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Muk_Alolan_Form,105,105,75,50,65,100,500
90,Shellder,https://bulbapedia.bulbagarden.net/wiki/Shellder,30,65,100,40,45,25,305
91,Cloyster,https://bulbapedia.bulbagarden.net/wiki/Cloyster,50,95,180,70,85,45,525
92,Gastly,https://bulbapedia.bulbagarden.net/wiki/Gastly,30,35,30,80,100,35,310
93,Haunter,https://bulbapedia.bulbagarden.net/wiki/Haunter,45,50,45,95,115,55,405
94,Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar,60,65,60,110,130,75,500
94,Gengar Mega Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar_Mega_Gengar,60,65,80,130,170,95,600
95,Onix,https://bulbapedia.bulbagarden.net/wiki/Onix,35,45,160,70,30,45,385
96,Drowzee,https://bulbapedia.bulbagarden.net/wiki/Drowzee,60,48,45,42,43,90,328
97,Hypno,https://bulbapedia.bulbagarden.net/wiki/Hypno,85,73,70,67,73,115,483
98,Krabby,https://bulbapedia.bulbagarden.net/wiki/Krabby,30,105,90,50,25,25,325
99,Kingler,https://bulbapedia.bulbagarden.net/wiki/Kingler,55,130,115,75,50,50,475
100,Voltorb,https://bulbapedia.bulbagarden.net/wiki/Voltorb,40,30,50,100,55,55,330
100,Voltorb Hisuian Form,https://bulbapedia.bulbagarden.net/wiki/Voltorb_Hisuian_Form,40,30,50,100,55,55,330
101,Electrode,https://bulbapedia.bulbagarden.net/wiki/Electrode,60,50,70,150,80,80,490
101,Electrode Hisuian Form,https://bulbapedia.bulbagarden.net/wiki/Electrode_Hisuian_Form,60,50,70,150,80,80,490
102,Exeggcute,https://bulbapedia.bulbagarden.net/wiki/Exeggcute,60,40,80,40,60,45,325
103,Exeggutor,https://bulbapedia.bulbagarden.net/wiki/Exeggutor,95,95,85,55,125,75,530
103,Exeggutor Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_Alolan_Form,95,105,85,45,125,75,530
104,Cubone,https://bulbapedia.bulbagarden.net/wiki/Cubone,50,50,95,35,40,50,320
105,Marowak,https://bulbapedia.bulbagarden.net/wiki/Marowak,60,80,110,45,50,80,425
105,Marowak Alolan Form,https://bulbapedia.bulbagarden.net/wiki/Marowak_Alolan_Form,60,80,110,45,50,80,425
106,Hitmonlee,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee,50,120,53,87,35,110,455
107,Hitmonchan,https://bulbapedia.bulbagarden.net/wiki/Hitmonchan,50,105,79,76,35,110,455
108,Lickitung,https://bulbapedia.bulbagarden.net/wiki/Lickitung,90,55,75,30,60,75,385
109,Koffing,https://bulbapedia.bulbagarden.net/wiki/Koffing,40,65,95,35,60,45,340
110,Weezing,https://bulbapedia.bulbagarden.net/wiki/Weezing,65,90,120,60,85,70,490
110,Weezing Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Weezing_Galarian_Form,65,90,120,60,85,70,490
111,Rhyhorn,https://bulbapedia.bulbagarden.net/wiki/Rhyhorn,80,85,95,25,30,30,345
112,Rhydon,https://bulbapedia.bulbagarden.net/wiki/Rhydon,105,130,120,40,45,45,485
113,Chansey,https://bulbapedia.bulbagarden.net/wiki/Chansey,250,5,5,50,35,105,450
114,Tangela,https://bulbapedia.bulbagarden.net/wiki/Tangela,65,55,115,60,100,40,435
115,Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan,105,95,80,90,40,80,490
115,Kangaskhan Mega Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_Mega_Kangaskhan,105,125,100,100,60,100,590
116,Horsea,https://bulbapedia.bulbagarden.net/wiki/Horsea,30,40,70,60,70,25,295
117,Seadra,https://bulbapedia.bulbagarden.net/wiki/Seadra,55,65,95,85,95,45,440
118,Goldeen,https://bulbapedia.bulbagarden.net/wiki/Goldeen,45,67,60,63,35,50,320
119,Seaking,https://bulbapedia.bulbagarden.net/wiki/Seaking,80,92,65,68,65,80,450
120,Staryu,https://bulbapedia.bulbagarden.net/wiki/Staryu,30,45,55,85,70,55,340
121,Starmie,https://bulbapedia.bulbagarden.net/wiki/Starmie,60,75,85,115,100,85,520
121,Starmie Mega Starmie,https://bulbapedia.bulbagarden.net/wiki/Starmie_Mega_Starmie,60,140,105,120,130,105,660
122,Mr. Mime,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime,40,45,65,90,100,120,460
122,Mr. Mime Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_Galarian_Form,50,65,65,100,90,90,460
123,Scyther,https://bulbapedia.bulbagarden.net/wiki/Scyther,70,110,80,105,55,80,500
124,Jynx,https://bulbapedia.bulbagarden.net/wiki/Jynx,65,50,35,95,115,95,455
125,Electabuzz,https://bulbapedia.bulbagarden.net/wiki/Electabuzz,65,83,57,105,95,85,490
126,Magmar,https://bulbapedia.bulbagarden.net/wiki/Magmar,65,95,57,93,100,85,495
127,Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir,65,125,100,85,55,70,500
127,Pinsir Mega Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir_Mega_Pinsir,65,155,120,105,65,90,600
128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros,75,100,95,110,40,70,490
128,Tauros Paldean Form Combat Breed,https://bulbapedia.bulbagarden.net/wiki/Tauros_Paldean_Form_Combat_Breed,75,110,105,100,30,70,490
128,Tauros Paldean Form Blaze Breed,https://bulbapedia.bulbagarden.net/wiki/Tauros_Paldean_Form_Blaze_Breed,75,110,105,100,30,70,490
128,Tauros Paldean Form Aqua Breed,https://bulbapedia.bulbagarden.net/wiki/Tauros_Paldean_Form_Aqua_Breed,75,110,105,100,30,70,490
129,Magikarp,https://bulbapedia.bulbagarden.net/wiki/Magikarp,20,10,55,80,15,20,200
130,Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados,95,125,79,81,60,100,540
130,Gyarados Mega Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados_Mega_Gyarados,95,155,109,81,70,130,640
131,Lapras,https://bulbapedia.bulbagarden.net/wiki/Lapras,130,85,80,60,85,95,535
132,Ditto,https://bulbapedia.bulbagarden.net/wiki/Ditto,48,48,48,48,48,48,288
133,Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee,55,55,50,55,45,65,325
133,Eevee Partner Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee_Partner_Eevee,65,75,70,75,65,85,435
134,Vaporeon,https://bulbapedia.bulbagarden.net/wiki/Vaporeon,130,65,60,65,110,95,525
135,Jolteon,https://bulbapedia.bulbagarden.net/wiki/Jolteon,65,65,60,130,110,95,525
136,Flareon,https://bulbapedia.bulbagarden.net/wiki/Flareon,65,130,60,65,95,110,525
137,Porygon,https://bulbapedia.bulbagarden.net/wiki/Porygon,65,60,70,40,85,75,395
138,Omanyte,https://bulbapedia.bulbagarden.net/wiki/Omanyte,35,40,100,35,90,55,355
139,Omastar,https://bulbapedia.bulbagarden.net/wiki/Omastar,70,60,125,55,115,70,495
140,Kabuto,https://bulbapedia.bulbagarden.net/wiki/Kabuto,30,80,90,55,55,45,355
141,Kabutops,https://bulbapedia.bulbagarden.net/wiki/Kabutops,60,115,105,80,65,70,495
142,Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl,80,105,65,130,60,75,515
142,Aerodactyl Mega Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_Mega_Aerodactyl,80,135,85,150,70,95,615
143,Snorlax,https://bulbapedia.bulbagarden.net/wiki/Snorlax,160,110,65,30,65,110,540
144,Articuno,https://bulbapedia.bulbagarden.net/wiki/Articuno,90,85,100,85,95,125,580
144,Articuno Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Articuno_Galarian_Form,90,85,85,95,125,100,580
145,Zapdos,https://bulbapedia.bulbagarden.net/wiki/Zapdos,90,90,85,100,125,90,580
145,Zapdos Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Zapdos_Galarian_Form,90,125,90,100,85,90,580
146,Moltres,https://bulbapedia.bulbagarden.net/wiki/Moltres,90,100,90,90,125,85,580
146,Moltres Galarian Form,https://bulbapedia.bulbagarden.net/wiki/Moltres_Galarian_Form,90,85,90,90,100,125,580
147,Dratini,https://bulbapedia.bulbagarden.net/wiki/Dratini,41,64,45,50,50,50,300
148,Dragonair,https://bulbapedia.bulbagarden.net/wiki/Dragonair,61,84,65,70,70,70,420
149,Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite,91,134,95,80,100,100,600
149,Dragonite Mega Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite_Mega_Dragonite,91,124,115,100,145,125,700
150,Mewtwo,https://bulbapedia.bulbagarden.net/wiki/Mewtwo,106,110,90,130,154,90,680
150,Mewtwo Mega Mewtwo X,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_Mega_Mewtwo_X,106,190,100,130,154,100,780
150,Mewtwo Mega Mewtwo Y,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_Mega_Mewtwo_Y,106,150,70,140,194,120,780
151,Mew,https://bulbapedia.bulbagarden.net/wiki/Mew,100,100,100,100,100,100,600
152,Chikorita,https://bulbapedia.bulbagarden.net/wiki/Chikorita,45,49,65,45,49,65,318
153,Bayleef,https://bulbapedia.bulbagarden.net/wiki/Bayleef,60,62,80,60,63,80,405
154,Meganium,https://bulbapedia.bulbagarden.net/wiki/Meganium,80,82,100,80,83,100,525
154,Meganium Mega Meganium,https://bulbapedia.bulbagarden.net/wiki/Meganium_Mega_Meganium,80,92,115,80,143,115,625
155,Cyndaquil,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil,39,52,43,65,60,50,309
156,Quilava,https://bulbapedia.bulbagarden.net/wiki/Quilava,58,64,58,80,80,65,405
157,Typhlosion,https://bulbapedia.bulbagarden.net/wiki/Typhlosion,78,84,78,100,109,85,534
157,Typhlosion Hisuian Form,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_Hisuian_Form,73,84,78,95,119,85,534
158,Totodile,https://bulbapedia.bulbagarden.net/wiki/Totodile,50,65,64,43,44,48,314
159,Croconaw,https://bulbapedia.bulbagarden.net/wiki/Croconaw,65,80,80,58,59,63,405
160,Feraligatr,https://bulbapedia.bulbagarden.net/wiki/Feraligatr,85,105,100,78,79,83,530
160,Feraligatr Mega Feraligatr,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_Mega_Feraligatr,85,160,125,78,89,93,630
161,Sentret,https://bulbapedia.bulbagarden.net/wiki/Sentret,35,46,34,20,35,45,215
162,Furret,https://bulbapedia.bulbagarden.net/wiki/Furret,85,76,64,90,45,55,415
163,Hoothoot,https://bulbapedia.bulbagarden.net/wiki/Hoothoot,60,30,30,50,36,56,262
164,Noctowl,https://bulbapedia.bulbagarden.net/wiki/Noctowl,100,50,50,70,86,96,452
165,Ledyba,https://bulbapedia.bulbagarden.net/wiki/Ledyba,40,20,30,55,40,80,265
166,Ledian,https://bulbapedia.bulbagarden.net/wiki/Ledian,55,35,50,85,55,110,390
167,Spinarak,https://bulbapedia.bulbagarden.net/wiki/Spinarak,40,60,40,30,40,40,250
168,Ariados,https://bulbapedia.bulbagarden.net/wiki/Ariados,70,90,70,40,60,70,400
169,Crobat,https://bulbapedia.bulbagarden.net/wiki/Crobat,85,90,80,130,70,80,535
170,Chinchou,https://bulbapedia.bulbagarden.net/wiki/Chinchou,75,38,38,67,56,56,330
171,Lanturn,https://bulbapedia.bulbagarden.net/wiki/Lanturn,125,58,58,67,76,76,460
172,Pichu,https://bulbapedia.bulbagarden.net/wiki/Pichu,20,40,15,60,35,35,205
173,Cleffa,https://bulbapedia.bulbagarden.net/wiki/Cleffa,50,25,28,15,45,55,218
174,Igglybuff,https://bulbapedia.bulbagarden.net/wiki/Igglybuff,90,30,15,15,40,20,210
175,Togepi,https://bulbapedia.bulbagarden.net/wiki/Togepi,35,20,65,20,40,65,245
176,Togetic,https://bulbapedia.bulbagarden.net/wiki/Togetic,55,40,85,40,80,105,405
177,Natu,https://bulbapedia.bulbagarden.net/wiki/Natu,40,50,45,70,70,45,320
178,Xatu,https://bulbapedia.bulbagarden.net/wiki/Xatu,65,75,70,95,95,70,470
179,Mareep,https://bulbapedia.bulbagarden.net/wiki/Mareep,55,40,40,35,65,45,280
180,Flaaffy,https://bulbapedia.bulbagarden.net/wiki/Flaaffy,70,55,55,45,80,60,365
181,Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos,90,75,85,55,115,90,510
181,Ampharos Mega Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos_Mega_Ampharos,90,95,105,45,165,110,610
182,Bellossom,https://bulbapedia.bulbagarden.net/wiki/Bellossom,75,80,95,50,90,100,490
183,Marill,https://bulbapedia.bulbagarden.net/wiki/Marill,70,20,50,40,20,50,250
184,Azumarill,https://bulbapedia.bulbagarden.net/wiki/Azumarill,100,50,80,50,60,80,420
185,Sudowoodo,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo,70,100,115,30,30,65,410
186,Politoed,https://bulbapedia.bulbagarden.net/wiki/Politoed,90,75,75,70,90,100,500
187,Hoppip,https://bulbapedia.bulbagarden.net/wiki/Hoppip,35,35,40,50,35,55,250
188,Skiploom,https://bulbapedia.bulbagarden.net/wiki/Skiploom,55,45,50,80,45,65,340
189,Jumpluff,https://bulbapedia.bulbagarden.net/wiki/Jumpluff,75,55,70,110,55,95,460
190,Aipom,https://bulbapedia.bulbagarden.net/wiki/Aipom,55,70,55,85,40,55,360
191,Sunkern,https://bulbapedia.bulbagarden.net/wiki/Sunkern,30,30,30,30,30,30,180
192,Sunflora,https://bulbapedia.bulbagarden.net/wiki/Sunflora,75,75,55,30,105,85,425
193,Yanma,https://bulbapedia.bulbagarden.net/wiki/Yanma,65,65,45,95,75,45,390
194,Wooper,https://bulbapedia.bulbagarden.net/wiki/Wooper,55,45,45,15,25,25,210
194,Wooper Paldean Form,https://bulbapedia.bulbagarden.net/wiki/Wooper_Paldean_Form,55,45,45,15,25,25,210
