Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,Entrepreneurial Interest,Networking Importance,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?
18,28,Male,Science,2.99,1,Analyst,90655,Yes,601,185,5.0,9.9,Loan,Finance Manager,180546,Domestic,Career Growth,On-Campus,No
19,23,Male,Science,3.56,9,Analyst,53915,Yes,538,384,8.5,6.0,Scholarship,Marketing Director,82471,Domestic,Skill Enhancement,Online,Yes
20,26,Male,Economics,3.39,2,Manager,87774,No,298,385,1.3,5.6,Scholarship,Marketing Director,147362,International,Career Growth,Online,Yes
21,25,Male,Engineering,3.98,7,Analyst,33258,Yes,428,225,7.2,7.6,Scholarship,Executive,72714,Domestic,Career Growth,Online,Yes
22,22,Male,Business,3.02,6,Consultant,112179,No,785,44,5.5,2.2,Scholarship,Executive,166538,Domestic,Skill Enhancement,Online,Yes
23,28,Female,Science,2.85,0,Consultant,64522,No,526,109,8.1,3.1,Scholarship,Executive,137619,International,Skill Enhancement,Online,No
24,32,Male,Business,2.57,3,Consultant,73357,No,659,346,3.3,9.5,Scholarship,Marketing Director,65370,Domestic,Career Growth,On-Campus,No
25,34,Male,Business,2.95,4,Manager,92146,Yes,396,359,8.9,2.9,Employer,Marketing Director,104662,International,Skill Enhancement,Online,No
26,26,Female,Arts,3.75,2,Manager,95581,No,710,195,3.7,4.0,Scholarship,Startup Founder,87905,Domestic,Entrepreneurship,Online,No
27,22,Male,Business,2.08,3,Engineer,54538,No,313,4,9.6,3.2,Loan,Marketing Director,122034,International,Entrepreneurship,On-Campus,No
28,32,Male,Arts,3.96,9,Entrepreneur,64723,No,614,417,6.8,5.4,Employer,Marketing Director,85873,International,Skill Enhancement,Online,Yes
29,25,Male,Engineering,3.99,9,Engineer,32274,No,729,434,2.8,8.2,Employer,Marketing Director,144660,Domestic,Entrepreneurship,On-Campus,No
30,21,Female,Engineering,3.2,9,Engineer,37735,No,666,133,8.0,8.5,Self-funded,Executive,96946,Domestic,Career Growth,On-Campus,No
31,32,Female,Arts,2.66,6,Analyst,31739,No,793,381,5.8,3.9,Employer,Marketing Director,154959,Domestic,Skill Enhancement,Online,No
32,30,Male,Engineering,2.45,7,Analyst,117586,No,750,221,4.7,1.7,Self-funded,Executive,119391,International,Skill Enhancement,Online,Yes
33,26,Female,Science,2.55,8,Engineer,110849,Yes,693,308,5.2,2.0,Self-funded,Executive,177546,Domestic,Networking,On-Campus,No
34,33,Female,Engineering,2.1,1,Entrepreneur,43549,No,636,11,4.6,8.3,Scholarship,Finance Manager,140714,International,Skill Enhancement,Online,Yes
35,32,Female,Arts,2.95,3,Engineer,108948,No,256,131,7.4,4.9,Self-funded,Marketing Director,163083,Domestic,Networking,On-Campus,Yes
36,29,Female,Science,2.11,0,Manager,61510,No,438,274,3.3,8.4,Scholarship,Executive,114106,Domestic,Networking,On-Campus,Yes
37,21,Female,Business,3.44,2,Consultant,112253,Yes,503,286,5.6,1.1,Employer,Executive,196140,Domestic,Entrepreneurship,On-Campus,Yes
38,31,Male,Business,2.74,7,Engineer,97066,No,769,465,7.8,1.3,Loan,Executive,120725,International,Skill Enhancement,Online,Yes
39,31,Male,Business,2.4,6,Analyst,30555,Yes,760,174,2.3,3.8,Loan,Marketing Director,166030,International,Skill Enhancement,On-Campus,Yes
40,30,Male,Arts,3.09,7,Entrepreneur,56624,No,471,222,3.6,2.8,Scholarship,Startup Founder,136291,Domestic,Entrepreneurship,Online,No
41,32,Female,Business,3.95,5,Analyst,50417,No,696,94,2.9,6.8,Self-funded,Marketing Director,183695,International,Entrepreneurship,On-Campus,No
42,32,Female,Engineering,3.39,4,Manager,113083,No,665,481,6.1,6.3,Scholarship,Marketing Director,128025,International,Career Growth,On-Campus,No
43,34,Female,Business,2.98,9,Analyst,101564,No,477,145,4.7,9.0,Scholarship,Startup Founder,72613,Domestic,Networking,On-Campus,Yes
44,34,Other,Economics,3.55,8,Analyst,75978,Yes,530,167,3.9,8.1,Employer,Marketing Director,188208,Domestic,Entrepreneurship,On-Campus,Yes
45,34,Male,Economics,3.47,4,Entrepreneur,62498,Yes,787,80,4.2,1.9,Scholarship,Finance Manager,152764,International,Networking,On-Campus,No
46,23,Female,Business,3.78,8,Entrepreneur,81172,No,257,289,5.2,9.0,Loan,Finance Manager,78468,International,Skill Enhancement,Online,Yes
47,32,Female,Business,2.41,3,Analyst,70453,No,446,367,4.8,2.1,Employer,Marketing Director,98133,Domestic,Networking,Online,Yes
48,27,Other,Economics,3.72,4,Analyst,36023,No,396,450,7.4,2.8,Employer,Finance Manager,134882,Domestic,Networking,Online,No
49,24,Other,Business,2.6,0,Engineer,119364,Yes,736,66,7.2,5.5,Self-funded,Executive,89770,International,Skill Enhancement,Online,No
50,29,Female,Science,3.88,5,Manager,81092,No,447,472,1.2,2.0,Employer,Consultant,136348,International,Career Growth,Online,No
51,23,Male,Economics,2.56,2,Engineer,83548,Yes,496,133,7.4,3.0,Loan,Marketing Director,168859,Domestic,Entrepreneurship,Online,No
52,25,Female,Arts,3.85,9,Entrepreneur,92533,Yes,436,164,3.0,5.0,Self-funded,Startup Founder,123415,International,Networking,On-Campus,Yes
53,23,Male,Economics,3.93,1,Engineer,37016,No,382,259,4.8,3.2,Loan,Executive,97109,International,Career Growth,On-Campus,No
54,27,Female,Engineering,2.29,5,Engineer,88554,No,408,360,3.0,9.5,Scholarship,Startup Founder,80499,Domestic,Entrepreneurship,Online,No
55,25,Female,Science,3.95,0,Analyst,83405,Yes,646,160,2.1,2.5,Self-funded,Startup Founder,192401,International,Career Growth,Online,Yes
56,29,Male,Arts,2.17,8,Analyst,39546,Yes,367,142,6.3,6.2,Employer,Consultant,128880,Domestic,Career Growth,Online,Yes
57,27,Female,Business,2.44,4,Manager,68793,No,634,378,9.6,5.5,Employer,Finance Manager,67776,Domestic,Networking,Online,No
58,22,Male,Engineering,2.89,6,Consultant,70344,Yes,381,422,4.3,5.1,Loan,Startup Founder,65814,International,Career Growth,Online,Yes
59,24,Male,Engineering,3.99,9,Consultant,102143,Yes,623,247,7.1,3.1,Loan,Marketing Director,192258,International,Career Growth,Online,No
60,29,Male,Science,2.98,8,Engineer,56706,No,653,491,5.1,2.7,Self-funded,Marketing Director,107755,International,Skill Enhancement,Online,Yes
61,32,Female,Arts,3.1,8,Manager,70521,Yes,598,133,2.6,3.7,Loan,Executive,110849,International,Networking,Online,Yes
62,34,Female,Engineering,3.39,6,Manager,53406,No,281,485,9.3,6.3,Scholarship,Executive,133094,Domestic,Networking,Online,No
63,22,Female,Arts,3.94,3,Entrepreneur,66035,No,346,174,5.0,6.2,Loan,Startup Founder,137232,Domestic,Entrepreneurship,On-Campus,Yes
64,30,Male,Arts,3.57,3,Analyst,44542,Yes,588,474,1.1,8.0,Employer,Consultant,188759,Domestic,Entrepreneurship,On-Campus,No
65,29,Female,Engineering,2.45,6,Entrepreneur,100790,No,636,184,5.1,3.7,Scholarship,Finance Manager,89214,Domestic,Skill Enhancement,Online,Yes
66,30,Female,Arts,2.61,7,Consultant,99739,Yes,434,465,1.1,7.4,Self-funded,Consultant,124906,International,Networking,Online,No
67,25,Male,Science,2.2,6,Manager,68658,Yes,433,316,8.1,8.9,Self-funded,Consultant,121106,International,Skill Enhancement,Online,Yes
68,22,Male,Engineering,3.29,9,Consultant,42452,No,300,83,4.3,8.7,Scholarship,Executive,73063,Domestic,Networking,Online,No
69,24,Male,Science,2.36,3,Analyst,52681,No,251,75,6.5,5.2,Employer,Finance Manager,60638,International,Skill Enhancement,Online,No
70,32,Female,Science,2.51,3,Analyst,50826,No,326,263,7.9,7.0,Self-funded,Startup Founder,72292,International,Skill Enhancement,Online,No
71,32,Female,Arts,3.78,7,Analyst,47432,Yes,728,397,1.2,8.5,Self-funded,Consultant,125581,Domestic,Networking,On-Campus,Yes
72,27,Female,Arts,2.65,8,Consultant,48343,No,711,115,5.7,2.4,Loan,Startup Founder,106510,International,Skill Enhancement,Online,Yes
73,32,Male,Engineering,3.13,6,Manager,82850,No,648,153,6.7,9.6,Employer,Executive,101864,Domestic,Entrepreneurship,On-Campus,Yes
74,33,Female,Business,2.8,2,Entrepreneur,84827,No,288,498,5.2,6.4,Loan,Startup Founder,108454,International,Skill Enhancement,On-Campus,Yes
75,28,Male,Engineering,2.15,9,Manager,70659,No,795,112,3.8,3.5,Scholarship,Marketing Director,185373,International,Career Growth,Online,No
76,23,Male,Science,2.73,0,Manager,94237,No,500,140,5.2,5.7,Employer,Finance Manager,104198,Domestic,Career Growth,On-Campus,Yes
77,34,Female,Arts,2.82,4,Engineer,77841,No,315,31,4.5,7.6,Self-funded,Consultant,65161,International,Career Growth,Online,No
78,21,Male,Science,3.79,5,Manager,72201,No,678,220,6.5,8.4,Loan,Executive,133405,Domestic,Career Growth,Online,Yes
79,24,Female,Economics,2.65,8,Entrepreneur,50314,No,602,271,5.2,3.8,Scholarship,Startup Founder,151555,Domestic,Networking,Online,No
80,22,Male,Economics,2.76,4,Engineer,84517,No,632,97,2.2,4.1,Employer,Executive,111746,International,Skill Enhancement,On-Campus,No
81,28,Female,Science,3.57,0,Manager,77416,No,276,11,1.8,8.4,Self-funded,Marketing Director,176129,Domestic,Entrepreneurship,Online,No
82,24,Male,Business,3.52,3,Engineer,104603,Yes,316,103,2.5,8.6,Loan,Executive,151288,International,Skill Enhancement,Online,Yes
83,22,Female,Business,3.6,1,Manager,41912,No,749,416,1.6,7.2,Scholarship,Finance Manager,147654,International,Networking,Online,Yes
84,34,Male,Engineering,3.91,3,Analyst,109637,No,661,464,3.3,7.2,Self-funded,Finance Manager,142419,International,Entrepreneurship,On-Campus,Yes
85,26,Male,Engineering,3.59,6,Analyst,85755,Yes,619,265,1.6,3.3,Employer,Finance Manager,162146,International,Entrepreneurship,Online,Yes
86,26,Female,Engineering,2.82,8,Manager,45941,Yes,685,52,6.4,9.6,Scholarship,Marketing Director,190372,Domestic,Career Growth,Online,Yes
87,30,Male,Arts,3.64,2,Engineer,84938,Yes,310,169,5.0,8.7,Self-funded,Finance Manager,106980,Domestic,Career Growth,Online,Yes
88,24,Female,Business,3.02,2,Entrepreneur,44591,No,299,140,3.3,8.8,Scholarship,Marketing Director,89201,Domestic,Networking,Online,Yes
89,26,Other,Science,2.56,3,Analyst,58281,No,774,83,1.1,2.8,Loan,Consultant,122117,Domestic,Networking,Online,Yes
90,33,Male,Economics,2.61,6,Engineer,41730,Yes,445,462,2.3,9.9,Scholarship,Marketing Director,171803,Domestic,Entrepreneurship,Online,Yes
91,22,Male,Business,2.45,5,Entrepreneur,39011,Yes,619,268,7.0,5.0,Self-funded,Startup Founder,157273,Domestic,Entrepreneurship,On-Campus,Yes
92,30,Female,Business,2.29,4,Engineer,66677,No,524,448,3.2,7.1,Self-funded,Finance Manager,71983,International,Skill Enhancement,On-Campus,Yes
93,32,Other,Business,2.37,3,Manager,92969,No,465,344,4.0,9.1,Employer,Executive,176575,Domestic,Skill Enhancement,Online,No
94,22,Female,Engineering,2.13,7,Analyst,74976,Yes,541,73,1.7,1.9,Employer,Marketing Director,146540,International,Networking,On-Campus,Yes
95,30,Female,Arts,3.78,3,Analyst,97420,No,575,469,5.9,3.9,Employer,Consultant,174242,Domestic,Networking,On-Campus,No
96,34,Female,Science,3.86,2,Analyst,100038,No,774,140,8.2,4.3,Scholarship,Startup Founder,124413,International,Career Growth,On-Campus,No
97,24,Male,Engineering,3.17,6,Manager,58564,No,785,109,4.2,8.0,Loan,Consultant,91714,Domestic,Skill Enhancement,On-Campus,No
98,34,Other,Arts,3.68,1,Entrepreneur,37497,No,423,37,2.0,3.7,Employer,Consultant,123172,Domestic,Skill Enhancement,Online,No
99,28,Other,Business,2.37,3,Entrepreneur,38298,Yes,679,133,9.6,4.5,Self-funded,Startup Founder,125586,Domestic,Career Growth,Online,No
100,34,Male,Arts,3.8,7,Analyst,40887,No,284,9,5.6,4.4,Scholarship,Finance Manager,65290,Domestic,Career Growth,On-Campus,No
101,27,Male,Engineering,3.01,3,Entrepreneur,40677,No,413,185,1.8,9.2,Scholarship,Executive,135378,International,Networking,Online,No
102,32,Male,Business,2.13,9,Analyst,59362,No,643,243,5.5,1.0,Scholarship,Startup Founder,198441,International,Networking,On-Campus,Yes
103,29,Male,Engineering,2.28,6,Entrepreneur,50413,Yes,517,148,1.4,2.3,Loan,Finance Manager,89204,Domestic,Career Growth,On-Campus,Yes
104,34,Female,Science,2.62,1,Analyst,64193,No,574,70,1.5,9.4,Employer,Finance Manager,60801,International,Networking,Online,Yes
105,28,Male,Business,2.09,4,Entrepreneur,100141,No,653,232,3.9,6.5,Scholarship,Marketing Director,151636,International,Skill Enhancement,Online,Yes
106,25,Male,Arts,2.62,3,Engineer,110563,No,286,370,7.1,1.8,Scholarship,Finance Manager,116400,International,Skill Enhancement,On-Campus,Yes
107,33,Male,Engineering,2.12,8,Analyst,50440,No,745,382,7.3,5.3,Loan,Startup Founder,185944,International,Entrepreneurship,On-Campus,No
108,22,Other,Economics,2.47,6,Analyst,95776,Yes,779,397,9.1,9.4,Scholarship,Finance Manager,146529,International,Career Growth,Online,No
109,25,Female,Arts,2.53,8,Consultant,47880,Yes,360,336,2.0,7.8,Self-funded,Marketing Director,97372,Domestic,Entrepreneurship,On-Campus,No
110,28,Male,Arts,3.99,9,Analyst,76365,Yes,737,468,5.2,3.3,Scholarship,Marketing Director,164217,International,Networking,Online,Yes
111,30,Male,Business,2.47,6,Entrepreneur,89850,No,474,133,5.3,4.9,Scholarship,Executive,121771,International,Networking,On-Campus,Yes
112,29,Other,Arts,2.48,1,Engineer,59466,No,546,118,5.1,5.4,Self-funded,Startup Founder,130581,International,Skill Enhancement,On-Campus,Yes
113,32,Female,Engineering,3.37,1,Engineer,41164,Yes,446,171,8.6,7.9,Scholarship,Startup Founder,137215,International,Skill Enhancement,Online,Yes
114,32,Male,Economics,3.72,1,Entrepreneur,58595,No,578,337,8.3,8.0,Scholarship,Executive,63558,International,Career Growth,Online,No
115,32,Male,Science,2.77,4,Manager,81913,No,346,182,5.6,3.6,Self-funded,Startup Founder,153036,Domestic,Career Growth,On-Campus,Yes
116,33,Male,Economics,3.75,0,Analyst,63373,No,697,318,8.0,7.5,Scholarship,Consultant,72276,International,Entrepreneurship,Online,Yes
117,29,Male,Engineering,2.68,6,Engineer,61178,No,407,266,1.5,9.8,Self-funded,Marketing Director,74306,Domestic,Networking,On-Campus,Yes
118,33,Female,Business,2.39,1,Entrepreneur,31038,No,743,158,5.8,1.7,Scholarship,Consultant,144884,International,Networking,On-Campus,Yes
119,33,Female,Engineering,2.66,3,Engineer,63174,Yes,266,263,1.9,8.3,Self-funded,Finance Manager,102876,Domestic,Networking,Online,Yes
120,21,Male,Arts,3.22,8,Engineer,96607,Yes,796,185,8.8,6.3,Employer,Executive,171362,Domestic,Career Growth,Online,Yes
121,29,Female,Business,2.73,7,Entrepreneur,119750,Yes,585,139,5.5,4.4,Self-funded,Consultant,151324,Domestic,Skill Enhancement,Online,No
122,27,Male,Science,3.35,9,Consultant,83361,No,673,200,1.2,8.1,Scholarship,Finance Manager,71494,International,Career Growth,Online,No
123,29,Female,Science,2.47,1,Engineer,51005,No,652,307,5.9,3.9,Loan,Startup Founder,86631,Domestic,Entrepreneurship,Online,No
124,28,Female,Engineering,3.4,3,Engineer,118008,Yes,680,64,7.6,4.0,Employer,Startup Founder,153772,International,Networking,On-Campus,Yes
125,21,Male,Arts,2.69,3,Manager,75877,Yes,742,229,2.2,5.5,Self-funded,Finance Manager,84153,Domestic,Skill Enhancement,On-Campus,Yes
126,32,Male,Science,2.91,1,Consultant,50827,Yes,693,31,3.5,5.1,Self-funded,Finance Manager,163848,International,Entrepreneurship,On-Campus,No
127,28,Female,Economics,3.12,1,Manager,92405,Yes,260,112,5.0,2.2,Self-funded,Finance Manager,73133,Domestic,Networking,Online,Yes
128,28,Male,Business,3.37,4,Entrepreneur,77274,No,788,1,4.7,1.2,Scholarship,Finance Manager,67948,International,Entrepreneurship,On-Campus,No
129,31,Male,Economics,2.48,3,Analyst,80604,No,519,89,5.5,6.7,Scholarship,Finance Manager,182300,Domestic,Networking,Online,Yes
130,23,Female,Science,3.67,7,Entrepreneur,114373,Yes,375,442,1.1,4.0,Scholarship,Executive,74139,Domestic,Career Growth,Online,Yes
131,21,Other,Science,3.44,3,Consultant,98523,Yes,371,348,7.6,5.7,Self-funded,Finance Manager,96349,International,Skill Enhancement,Online,Yes
132,28,Male,Engineering,2.47,7,Entrepreneur,49173,No,601,215,3.8,2.8,Loan,Startup Founder,163129,Domestic,Networking,On-Campus,Yes
133,23,Female,Engineering,3.95,4,Consultant,30200,Yes,617,307,7.3,6.1,Employer,Startup Founder,176036,Domestic,Entrepreneurship,Online,Yes
134,23,Male,Business,3.33,0,Manager,70593,No,641,349,8.7,4.0,Scholarship,Executive,72135,Domestic,Skill Enhancement,Online,No
135,21,Female,Engineering,2.9,8,Engineer,52584,Yes,324,406,7.2,6.5,Employer,Finance Manager,129018,International,Skill Enhancement,Online,Yes
136,31,Female,Arts,2.32,7,Entrepreneur,109956,No,699,202,7.0,7.1,Loan,Marketing Director,171559,International,Career Growth,On-Campus,No
137,25,Female,Business,3.07,0,Entrepreneur,88126,No,254,46,6.2,1.0,Scholarship,Startup Founder,62790,Domestic,Career Growth,On-Campus,Yes
138,30,Male,Arts,2.33,2,Engineer,35225,Yes,407,401,1.0,4.9,Self-funded,Finance Manager,70454,International,Entrepreneurship,Online,Yes
139,27,Female,Engineering,2.86,2,Entrepreneur,100457,Yes,485,269,9.1,7.5,Scholarship,Marketing Director,135081,International,Career Growth,Online,Yes
140,30,Female,Business,2.82,4,Entrepreneur,66481,No,738,336,8.5,7.7,Self-funded,Marketing Director,61293,Domestic,Skill Enhancement,On-Campus,No
141,29,Male,Science,3.44,6,Analyst,52036,No,452,379,2.8,4.4,Loan,Consultant,61345,Domestic,Career Growth,On-Campus,No
142,32,Male,Economics,2.38,0,Analyst,39130,No,611,371,2.6,8.4,Scholarship,Marketing Director,120541,Domestic,Entrepreneurship,On-Campus,Yes
143,27,Male,Science,3.64,0,Engineer,65884,No,580,76,1.3,6.9,Employer,Marketing Director,75016,Domestic,Entrepreneurship,Online,No
144,29,Male,Arts,2.65,9,Manager,56996,No,570,240,4.4,9.9,Employer,Startup Founder,88830,International,Skill Enhancement,On-Campus,Yes
145,28,Female,Science,2.89,5,Entrepreneur,84342,Yes,506,113,9.9,5.6,Scholarship,Marketing Director,174922,International,Networking,Online,Yes
146,32,Male,Science,3.54,4,Entrepreneur,71723,Yes,625,207,1.9,4.4,Scholarship,Marketing Director,182931,International,Networking,On-Campus,Yes
147,22,Male,Economics,3.25,2,Manager,67387,Yes,424,295,6.1,9.3,Scholarship,Startup Founder,118026,International,Career Growth,Online,No
148,21,Female,Economics,2.62,2,Entrepreneur,89142,Yes,578,275,3.4,4.6,Employer,Consultant,197236,International,Career Growth,Online,No
149,27,Male,Science,2.77,3,Manager,100724,No,532,213,8.8,6.8,Employer,Consultant,108925,Domestic,Networking,On-Campus,No
150,27,Female,Economics,2.61,9,Engineer,92574,Yes,543,317,5.6,8.4,Self-funded,Finance Manager,196746,International,Networking,Online,Yes
151,34,Male,Science,3.19,1,Engineer,67734,Yes,652,96,8.7,5.1,Employer,Finance Manager,113436,Domestic,Skill Enhancement,Online,No
152,28,Other,Business,2.67,8,Manager,104997,Yes,449,389,9.4,5.0,Loan,Marketing Director,77151,International,Career Growth,On-Campus,No
153,25,Female,Science,3.45,3,Manager,46342,Yes,282,57,6.7,3.6,Employer,Marketing Director,107648,International,Entrepreneurship,Online,No
154,23,Female,Engineering,3.16,9,Consultant,53924,Yes,757,47,3.5,9.7,Scholarship,Finance Manager,64740,International,Skill Enhancement,Online,Yes
155,32,Male,Economics,2.29,2,Analyst,116113,Yes,390,335,5.0,9.5,Employer,Finance Manager,101016,Domestic,Career Growth,Online,Yes
156,28,Female,Economics,2.62,9,Analyst,73800,No,292,160,6.7,5.2,Employer,Marketing Director,164484,International,Skill Enhancement,Online,Yes
157,26,Male,Arts,2.44,6,Entrepreneur,51825,No,667,1,6.9,3.9,Employer,Startup Founder,147125,International,Skill Enhancement,On-Campus,Yes
158,31,Male,Arts,2.78,8,Entrepreneur,110690,No,525,207,1.6,2.2,Loan,Startup Founder,122951,International,Career Growth,Online,No
159,23,Male,Engineering,3.03,1,Manager,71633,No,331,35,4.2,5.3,Loan,Startup Founder,60740,International,Skill Enhancement,Online,Yes
160,21,Female,Economics,3.01,5,Manager,67372,No,462,212,5.8,9.0,Loan,Finance Manager,145800,International,Networking,On-Campus,Yes
161,23,Male,Economics,3.51,4,Analyst,71901,Yes,446,159,4.0,8.8,Loan,Consultant,174757,Domestic,Networking,On-Campus,Yes
162,25,Female,Arts,2.38,0,Entrepreneur,47326,No,294,404,6.2,2.0,Employer,Finance Manager,164667,Domestic,Career Growth,Online,No
163,34,Male,Arts,3.89,6,Analyst,99279,No,779,303,2.6,5.4,Scholarship,Startup Founder,112111,International,Entrepreneurship,Online,Yes
164,23,Male,Science,2.69,0,Engineer,101819,Yes,552,24,1.3,8.3,Scholarship,Executive,67340,Domestic,Entrepreneurship,On-Campus,No
165,21,Female,Economics,2.6,9,Analyst,66604,No,762,40,4.1,8.5,Scholarship,Startup Founder,110440,International,Career Growth,Online,No
166,25,Male,Economics,3.37,8,Analyst,110274,Yes,577,330,6.1,9.4,Scholarship,Executive,95298,International,Networking,On-Campus,Yes
167,30,Female,Science,3.61,3,Manager,39381,Yes,286,334,1.1,2.8,Employer,Startup Founder,90642,Domestic,Skill Enhancement,Online,Yes
168,27,Male,Economics,2.76,7,Entrepreneur,75816,Yes,269,249,6.5,4.7,Loan,Startup Founder,138234,Domestic,Entrepreneurship,Online,Yes
169,34,Female,Engineering,3.49,0,Engineer,73913,No,600,483,4.2,9.6,Employer,Executive,68431,Domestic,Career Growth,On-Campus,No
170,27,Female,Arts,3.77,4,Analyst,40505,No,435,382,9.9,3.4,Loan,Startup Founder,77343,Domestic,Networking,On-Campus,Yes
171,31,Male,Arts,3.53,2,Analyst,92818,Yes,290,192,8.0,4.0,Self-funded,Executive,185100,International,Entrepreneurship,Online,No
172,29,Male,Arts,2.07,3,Manager,45414,No,549,93,3.6,3.0,Self-funded,Executive,115825,Domestic,Skill Enhancement,On-Campus,Yes
173,30,Female,Business,3.65,3,Consultant,102927,Yes,626,201,9.7,5.8,Employer,Finance Manager,162981,Domestic,Networking,On-Campus,Yes
174,30,Female,Engineering,3.55,7,Entrepreneur,54311,Yes,484,120,3.5,5.8,Loan,Consultant,194874,Domestic,Career Growth,On-Campus,Yes
175,32,Male,Engineering,3.34,9,Entrepreneur,64677,Yes,668,244,2.0,8.4,Self-funded,Finance Manager,180081,International,Networking,Online,No
176,33,Male,Science,3.52,9,Entrepreneur,89590,No,330,138,1.2,4.7,Loan,Consultant,122538,International,Career Growth,On-Campus,No
177,23,Female,Business,3.96,2,Analyst,65442,No,276,256,8.1,3.3,Self-funded,Consultant,132513,Domestic,Entrepreneurship,On-Campus,No
178,27,Female,Economics,2.86,0,Analyst,33324,Yes,270,117,3.9,8.5,Self-funded,Startup Founder,179377,International,Networking,On-Campus,Yes
179,21,Male,Engineering,2.13,4,Analyst,117753,No,545,445,9.9,6.8,Self-funded,Executive,179566,Domestic,Entrepreneurship,On-Campus,No
180,24,Male,Business,2.92,1,Consultant,98138,No,421,2,6.6,2.4,Self-funded,Consultant,140629,International,Career Growth,On-Campus,Yes
181,33,Male,Business,2.09,5,Analyst,117717,Yes,629,279,2.5,6.1,Loan,Consultant,62702,International,Networking,On-Campus,No
182,24,Female,Engineering,2.59,3,Entrepreneur,95690,No,398,338,4.0,5.1,Self-funded,Consultant,141769,International,Skill Enhancement,Online,Yes
183,34,Male,Science,3.17,8,Entrepreneur,57423,No,769,193,5.6,8.6,Loan,Executive,96189,Domestic,Networking,Online,Yes
184,25,Other,Business,2.62,6,Manager,93151,No,414,442,7.5,6.4,Self-funded,Marketing Director,130089,International,Career Growth,On-Campus,No
185,27,Male,Arts,3.37,1,Consultant,42057,No,667,395,6.3,8.1,Self-funded,Consultant,167891,Domestic,Entrepreneurship,Online,Yes
186,27,Male,Business,3.64,6,Engineer,91397,No,622,357,3.3,5.2,Self-funded,Executive,173019,Domestic,Entrepreneurship,Online,No
187,33,Female,Economics,2.84,9,Analyst,74601,Yes,357,381,5.3,9.8,Loan,Executive,65125,Domestic,Skill Enhancement,On-Campus,No
188,31,Female,Engineering,3.8,7,Engineer,73339,Yes,565,420,2.9,8.2,Scholarship,Marketing Director,102926,International,Career Growth,Online,Yes
